street_number,actual_street_name,Suburb,price_realised_1895,details_1896,price_realised_1896,d_1895,d_1896,price_ratio,lprice_diff,lrents_diff,lgroundrents_diff,details_1897,price_realised_1897,d_1897,details_1898,price_realised_1898,d_1898,details_1899,price_realised_1899,d_1899,details_1900,price_realised_1900,d_1900,details_1901,price_realised_1901,d_1901,details_1902,price_realised_1902,d_1902,details_1903,price_realised_1903,d_1903,details_1904,price_realised_1904,d_1904,details_1905,price_realised_1905,d_1905,details_1906,price_realised_1906,d_1906,details_1907,price_realised_1907,d_1907,details_1908,price_realised_1908,d_1908,details_1909,price_realised_1909,d_1909,details_1910,price_realised_1910,d_1910,details_1911,price_realised_1911,d_1911,details_1912,price_realised_1912,d_1912,details_1913,price_realised_1913,d_1913,details_1914,price_realised_1914,d_1914
20,DUMONT ROAD,STOKE NEWINGTON,240,,,-1,0,1.333333333,0.287682073,0.169899037,,,,0,"UT 76 YEARS, GR 6/0/0, QT 32/0/0",320,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
26,COMMERCE ROAD,WOOD GREEN,175,,,-1,0,1.114285714,0.108213585,0,0,,,0,"UT 70 YEARS, GR 10/0/0, YR 36/0/0",195,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
26,DUMONT ROAD,STOKE NEWINGTON,255,,,-1,0,1.098039216,0.093526058,0,0,,,0,"UT 76 YEARS, GR 6/0/0, MT 30/0/0",280,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
30,WOODFIELD ROAD,PADDINGTON,450,,,-1,0,1.266666667,0.236388778,0.054067221,,,,0,"F, R £38",570,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
4,WAKEFIELD ROAD,TOTTENHAM,290,,,-1,0,0.948275862,-0.053109825,0.143100844,,,,0,"UT 88 YEARS, GR 6/10/0, YR 30/0/0",275,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
60,FAIRHOLT ROAD,STOKE NEWINGTON,475,,,-1,0,1.242105263,0.216807733,0,0,,,0,"UT 81 YEARS, GR 8/0/0, R 45/0/0",590,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
86,FERRIER STREET,WANDSWORTH,245,,,-1,0,0.816326531,-0.202940844,-0.223143551,,,,0,"UT 79 YEARS, GR NIL, R 26/0/0",200,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
12,HOUGHTON STREET,STRAND,760,,,-1,0,,,0,,,,0,,,0,"F, R 42/0/0","1,020",1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
148,GIPSY HILL,NORWOOD,215,,,-1,0,0.930232558,-0.072320662,0,0,,,0,,,0,"UT 67 YEARS, GR £7 7S., ER £32",200,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
18,QUEEN ADELAIDE ROAD,PENGE,430,,,-1,0,1.11627907,0.110000895,0,,,,0,,,0,"UT 50 YEARS, GR £7, R £50",480,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
2,ULYSSES ROAD,HAMPSTEAD,440,,,-1,0,1,0,0.182321557,0,,,0,,,0,"UT 85 YEARS, GR £7 7S., ER £48",440,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
267,NEW NORTH ROAD,HOXTON,300,,,-1,0,0.95,-0.051293294,0,0,,,0,,,0,"UT 28 YEARS, GR £6 6S., R £45",285,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
40,SOUTHGATE ROAD,DE BEAUVOIR TOWN,260,,,-1,0,1.173076923,0.159630146,-0.048790164,0,,,0,,,0,"UT 20 YEARS, GR £4 10S., R £40",305,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
50,BRUNSWICK ROAD,POPLAR,205,,,-1,0,1.195121951,0.178248231,0.048790164,0,,,0,,,0,"UT 48 YEARS, GR £3 10S., WR £27 6S.",245,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
52,SYDENHAM PARK,SYDENHAM,360,,,-1,0,1.666666667,0.510825624,,,,,0,,,0,"F, R 45/0/0",600,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
69,BISHOPSGATE STREET,CITY,3750,,,-1,0,1.066666667,0.064538521,,,,,0,,,0,"WITHOUT F, P",4000,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
